name;level;exp
Guilmon;27;14669
Guilmon;28;16261
Guilmon;29;17970
Guilmon;30;19801
Guilmon;31;21759
Guilmon;32;23846
Guilmon;33;26068
Guilmon;34;28428
Guilmon;35;30931
Guilmon;36;33582
Guilmon;37;36383
Guilmon;38;39340
Guilmon;39;42456
Guilmon;40;47936
Guilmon;41;51385
Guilmon;42;55005
Guilmon;43;58802
Guilmon;44;62779
Guilmon;45;66941
Guilmon;46;71293
Guilmon;47;75837
Guilmon;48;80579
Guilmon;49;85522
Guilmon;50;90671
Guilmon;51;96031
Guilmon;52;101604
Guilmon;53;107396
Guilmon;54;113410
Guilmon;55;119651
Guilmon;56;126124
Guilmon;57;132831
Guilmon;58;139778
Guilmon;59;146968
Guilmon;60;154406
Guilmon;61;162097
Guilmon;62;170043
Guilmon;63;178250
Guilmon;64;186721
Guilmon;65;195461
Guilmon;66;204475
Guilmon;67;213765
Guilmon;68;223337
Guilmon;69;233194
Guilmon;70;243341
Guilmon;71;253783
Guilmon;72;264522
Guilmon;73;275564
Guilmon;74;286912
Guilmon;75;298571
Guilmon;76;310546
Guilmon;77;322839
Guilmon;78;335456
Guilmon;79;348400
Guilmon;80;361676
Guilmon;81;375289
Guilmon;82;389241
Guilmon;83;403538
Guilmon;84;418183
Guilmon;85;433181
Guilmon;86;448537
Guilmon;87;464253
Guilmon;88;480335
Guilmon;89;496786
Guilmon;90;513611
Guilmon;91;530815
Guilmon;92;548400
Guilmon;93;566372
Guilmon;94;584734
Guilmon;95;603491
Guilmon;96;622648
Guilmon;97;642207
Guilmon;98;662174
Guilmon;99;682552
Kotemon;1;0
Kotemon;2;10
Kotemon;3;29
Kotemon;4;63
Kotemon;5;166
Kotemon;6;243
Kotemon;7;348
Kotemon;8;487
Kotemon;9;665
Kotemon;10;886
Kotemon;11;1155
Kotemon;12;1476
Kotemon;13;1855
Kotemon;14;2297
Kotemon;15;2806
Kotemon;16;3387
Kotemon;17;4044
Kotemon;18;4783
Kotemon;19;5609
Kotemon;20;7276
Kotemon;21;8289
Kotemon;22;9402
Kotemon;23;10621
Kotemon;24;11951
Kotemon;25;13396
Kotemon;26;14961
Kotemon;27;16650
Kotemon;28;18469
Kotemon;29;20423
Kotemon;30;22516
Kotemon;31;24753
Kotemon;32;27138
Kotemon;33;29677
Kotemon;34;32375
Kotemon;35;35236
Kotemon;36;38265
Kotemon;37;41466
Kotemon;38;44845
Kotemon;39;48407
Kotemon;40;54356
Kotemon;41;58297
Kotemon;42;62434
Kotemon;43;66773
Kotemon;44;71319
Kotemon;45;76076
Kotemon;46;81049
Kotemon;47;86242
Kotemon;48;91661
Kotemon;49;97311
Kotemon;50;103196
Kotemon;51;109321
Kotemon;52;115690
Kotemon;53;122309
Kotemon;54;129183
Kotemon;55;136316
Kotemon;56;143713
Kotemon;57;151378
Kotemon;58;159317
Kotemon;59;167535
Kotemon;60;176036
Kotemon;61;184825
Kotemon;62;193906
Kotemon;63;203285
Kotemon;64;212967
Kotemon;65;222956
Kotemon;66;233257
Kotemon;67;243874
Kotemon;68;254813
Kotemon;69;266079
Kotemon;70;277676
Kotemon;71;289609
Kotemon;72;301882
Kotemon;73;314501
Kotemon;74;327471
Kotemon;75;340796
Kotemon;76;354481
Kotemon;77;368530
Kotemon;78;382949
Kotemon;79;397743
Kotemon;80;412916
Kotemon;81;428473
Kotemon;82;444418
Kotemon;83;460757
Kotemon;84;477495
Kotemon;85;494636
Kotemon;86;512185
Kotemon;87;530146
Kotemon;88;548525
Kotemon;89;567327
Kotemon;90;586556
Kotemon;91;606217
Kotemon;92;626314
Kotemon;93;646853
Kotemon;94;667839
Kotemon;95;689276
Kotemon;96;711169
Kotemon;97;733522
Kotemon;98;756341
Kotemon;99;779631
Kumamon;1;0
Kumamon;2;13
Kumamon;3;37
Kumamon;4;79
Kumamon;5;195
Kumamon;6;291
Kumamon;7;423
Kumamon;8;596
Kumamon;9;819
Kumamon;10;1095
Kumamon;11;1430
Kumamon;12;1830
Kumamon;13;2300
Kumamon;14;2849
Kumamon;15;3480
Kumamon;16;4199
Kumamon;17;5012
Kumamon;18;5924
Kumamon;19;6944
Kumamon;20;8825
Kumamon;21;10073
Kumamon;22;11444
Kumamon;23;12943
Kumamon;24;14579
Kumamon;25;16355
Kumamon;26;18277
Kumamon;27;20351
Kumamon;28;22582
Kumamon;29;24979
Kumamon;30;27545
Kumamon;31;30286
Kumamon;32;33208
Kumamon;33;36316
Kumamon;34;39619
Kumamon;35;43120
Kumamon;36;46825
Kumamon;37;50740
Kumamon;38;54870
Kumamon;39;59224
Kumamon;40;66005
Kumamon;41;70819
Kumamon;42;75872
Kumamon;43;81169
Kumamon;44;86719
Kumamon;45;92525
Kumamon;46;98593
Kumamon;47;104929
Kumamon;48;111538
Kumamon;49;118429
Kumamon;50;125605
Kumamon;51;133072
Kumamon;52;140836
Kumamon;53;148902
Kumamon;54;157279
Kumamon;55;165970
Kumamon;56;174981
Kumamon;57;184318
Kumamon;58;193986
Kumamon;59;203994
Kumamon;60;214345
Kumamon;61;225045
Kumamon;62;236100
Kumamon;63;247515
Kumamon;64;259299
Kumamon;65;271455
Kumamon;66;283989
Kumamon;67;296907
Kumamon;68;310214
Kumamon;69;323919
Kumamon;70;338025
Kumamon;71;352538
Kumamon;72;367464
Kumamon;73;382808
Kumamon;74;398579
Kumamon;75;414780
Kumamon;76;431417
Kumamon;77;448496
Kumamon;78;466022
Kumamon;79;484004
Kumamon;80;502445
Kumamon;81;521351
Kumamon;82;540728
Kumamon;83;560581
Kumamon;84;580919
Kumamon;85;601745
Kumamon;86;623065
Kumamon;87;644885
Kumamon;88;667210
Kumamon;89;690049
Kumamon;90;713405
Kumamon;91;737284
Kumamon;92;761692
Kumamon;93;786634
Kumamon;94;812119
Kumamon;95;838150
Kumamon;96;864733
Kumamon;97;891874
Kumamon;98;919578
Kumamon;99;947854
Monmon;1;0
Monmon;2;8
Monmon;3;22
Monmon;4;47
Monmon;5;137
Monmon;6;195
Monmon;7;274
Monmon;8;378
Monmon;9;511
Monmon;10;677
Monmon;11;879
Monmon;12;1120
Monmon;13;1404
Monmon;14;1735
Monmon;15;2117
Monmon;16;2553
Monmon;17;3046
Monmon;18;3600
Monmon;19;4219
Monmon;20;5657
Monmon;21;6417
Monmon;22;7252
Monmon;23;8166
Monmon;24;9163
Monmon;25;10247
Monmon;26;11421
Monmon;27;12688
Monmon;28;14052
Monmon;29;15517
Monmon;30;17087
Monmon;31;18765
Monmon;32;20554
Monmon;33;22458
Monmon;34;24481
Monmon;35;26627
Monmon;36;28899
Monmon;37;31300
Monmon;38;33834
Monmon;39;36505
Monmon;40;41517
Monmon;41;44473
Monmon;42;47576
Monmon;43;50830
Monmon;44;54239
Monmon;45;57807
Monmon;46;61537
Monmon;47;65432
Monmon;48;69496
Monmon;49;73733
Monmon;50;78147
Monmon;51;82741
Monmon;52;87518
Monmon;53;92482
Monmon;54;97637
Monmon;55;102987
Monmon;56;108535
Monmon;57;114284
Monmon;58;120238
Monmon;59;126401
Monmon;60;132777
Monmon;61;139369
Monmon;62;146180
Monmon;63;153214
Monmon;64;160475
Monmon;65;167967
Monmon;66;175693
Monmon;67;183656
Monmon;68;191860
Monmon;69;200309
Monmon;70;209007
Monmon;71;217957
Monmon;72;227162
Monmon;73;236626
Monmon;74;246353
Monmon;75;256347
Monmon;76;266611
Monmon;77;277148
Monmon;78;287962
Monmon;79;299057
Monmon;80;310437
Monmon;81;322105
Monmon;82;334064
Monmon;83;346318
Monmon;84;358871
Monmon;85;371727
Monmon;86;384889
Monmon;87;398360
Monmon;88;412144
Monmon;89;426245
Monmon;90;440667
Monmon;91;455413
Monmon;92;470486
Monmon;93;485890
Monmon;94;501629
Monmon;95;517707
Monmon;96;534127
Monmon;97;550892
Monmon;98;568006
Monmon;99;585473
Patamon;1;0
Patamon;2;11
Patamon;3;33
Patamon;4;71
Patamon;5;180
Patamon;6;267
Patamon;7;385
Patamon;8;542
Patamon;9;742
Patamon;10;990
Patamon;11;1293
Patamon;12;1654
Patamon;13;2081
Patamon;14;2578
Patamon;15;3150
Patamon;16;3804
Patamon;17;4543
Patamon;18;5375
Patamon;19;6304
Patamon;20;8085
Patamon;21;9225
Patamon;22;10477
Patamon;23;11849
Patamon;24;13345
Patamon;25;14970
Patamon;26;16731
Patamon;27;18631
Patamon;28;20678
Patamon;29;22876
Patamon;30;25230
Patamon;31;27747
Patamon;32;30430
Patamon;33;33287
Patamon;34;36322
Patamon;35;39540
Patamon;36;42948
Patamon;37;46549
Patamon;38;50351
Patamon;39;54358
Patamon;40;60775
Patamon;41;65209
Patamon;42;69863
Patamon;43;74745
Patamon;44;79859
Patamon;45;85210
Patamon;46;90805
Patamon;47;96647
Patamon;48;102744
Patamon;49;109100
Patamon;50;115720
Patamon;51;122611
Patamon;52;129776
Patamon;53;137223
Patamon;54;144956
Patamon;55;152980
Patamon;56;161302
Patamon;57;169925
Patamon;58;178857
Patamon;59;188102
Patamon;60;197665
Patamon;61;207553
Patamon;62;217769
Patamon;63;228321
Patamon;64;239213
Patamon;65;250450
Patamon;66;262039
Patamon;67;273983
Patamon;68;286290
Patamon;69;298964
Patamon;70;312010
Patamon;71;325435
Patamon;72;339242
Patamon;73;353439
Patamon;74;368030
Patamon;75;383020
Patamon;76;398416
Patamon;77;414221
Patamon;78;430443
Patamon;79;447086
Patamon;80;464155
Patamon;81;481657
Patamon;82;499595
Patamon;83;517977
Patamon;84;536807
Patamon;85;556090
Patamon;86;575833
Patamon;87;596039
Patamon;88;616716
Patamon;89;637868
Patamon;90;659500
Patamon;91;681619
Patamon;92;704228
Patamon;93;727335
Patamon;94;750944
Patamon;95;775060
Patamon;96;799690
Patamon;97;824837
Patamon;98;850509
Patamon;99;876710
Renamon;1;0
Renamon;2;8
Renamon;3;26
Renamon;4;55
Renamon;5;151
Renamon;6;219
Renamon;7;311
Renamon;8;433
Renamon;9;588
Renamon;10;781
Renamon;11;1017
Renamon;12;1298
Renamon;13;1630
Renamon;14;2016
Renamon;15;2461
Renamon;16;2970
Renamon;17;3545
Renamon;18;4192
Renamon;19;4914
Renamon;20;6466
Renamon;21;7353
Renamon;22;8327
Renamon;23;9394
Renamon;24;10557
Renamon;25;11821
Renamon;26;13191
Renamon;27;14669
Renamon;28;16261
Renamon;29;17970
Renamon;30;19801
Renamon;31;21759
Renamon;32;23846
Renamon;33;26068
Renamon;34;28428
Renamon;35;30931
Renamon;36;33582
Renamon;37;36383
Renamon;38;39340
Renamon;39;42456
Renamon;40;47936
Renamon;41;51385
Renamon;42;55005
Renamon;43;58802
Renamon;44;62779
Renamon;45;66941
Renamon;46;71293
Renamon;47;75837
Renamon;48;80579
Renamon;49;85522
Renamon;50;90671
Renamon;51;96031
Renamon;52;101604
Renamon;53;107396
Renamon;54;113410
Renamon;55;119651
Renamon;56;126124
Renamon;57;132831
Renamon;58;139778
Renamon;59;146968
Renamon;60;154406
Renamon;61;162097
Renamon;62;170043
Renamon;63;178250
Renamon;64;186721
Renamon;65;195461
Renamon;66;204475
Renamon;67;213765
Renamon;68;223337
Renamon;69;233194
Renamon;70;243341
Renamon;71;253783
Renamon;72;264522
Renamon;73;275564
Renamon;74;286912
Renamon;75;298571
Renamon;76;310546
Renamon;77;322839
Renamon;78;335456
Renamon;79;348400
Renamon;80;361676
Renamon;81;375289
Renamon;82;389241
Renamon;83;403538
Renamon;84;418183
Renamon;85;433181
Renamon;86;448537
Renamon;87;464253
Renamon;88;480335
Renamon;89;496786
Renamon;90;513611
Renamon;91;530815
Renamon;92;548400
Renamon;93;566372
Renamon;94;584734
Renamon;95;603491
Renamon;96;622648
Renamon;97;642207
Renamon;98;662174
Renamon;99;682552
Veemon;1;0
Veemon;2;10
Veemon;3;29
Veemon;4;63
Veemon;5;166
Veemon;6;243
Veemon;7;348
Veemon;8;487
Veemon;9;665
Veemon;10;886
Veemon;11;1155
Veemon;12;1476
Veemon;13;1855
Veemon;14;2297
Veemon;15;2806
Veemon;16;3387
Veemon;17;4044
Veemon;18;4783
Veemon;19;5609
Veemon;20;7276
Veemon;21;8289
Veemon;22;9402
Veemon;23;10621
Veemon;24;11951
Veemon;25;13396
Veemon;26;14961
Veemon;27;16650
Veemon;28;18469
Veemon;29;20423
Veemon;30;22516
Veemon;31;24753
Veemon;32;27138
Veemon;33;29677
Veemon;34;32375
Veemon;35;35236
Veemon;36;38265
Veemon;37;41466
Veemon;38;44845
Veemon;39;48407
Veemon;40;54356
Veemon;41;58297
Veemon;42;62434
Veemon;43;66773
Veemon;44;71319
Veemon;45;76076
Veemon;46;81049
Veemon;47;86242
Veemon;48;91661
Veemon;49;97311
Veemon;50;103196
Veemon;51;109321
Veemon;52;115690
Veemon;53;122309
Veemon;54;129183
Veemon;55;136316
Veemon;56;143713
Veemon;57;151378
Veemon;58;159317
Veemon;59;167535
Veemon;60;176036
Veemon;61;184825
Veemon;62;193906
Veemon;63;203285
Veemon;64;212967
Veemon;65;222956
Veemon;66;233257
Veemon;67;243874
Veemon;68;254813
Veemon;69;266079
Veemon;70;277676
Veemon;71;289609
Veemon;72;301882
Veemon;73;314501
Veemon;74;327471
Veemon;75;340796
Veemon;76;354481
Veemon;77;368530
Veemon;78;382949
Veemon;79;397743
Veemon;80;412916
Veemon;81;428473
Veemon;82;444418
Veemon;83;460757
Veemon;84;477495
Veemon;85;494636
Veemon;86;512185
Veemon;87;530146
Veemon;88;548525
Veemon;89;567327
Veemon;90;586556
Veemon;91;606217
Veemon;92;626314
Veemon;93;646853
Veemon;94;667839
Veemon;95;689276
Veemon;96;711169
Veemon;97;733522
Veemon;98;756341
Veemon;99;779631
