"num";"digimon";"dv10";"dv9";"dv8";"dv7";"dv6";"dv5";"dv4";"dv3";"dv2";"dv1";"exp"
"48";"Clockmon";"24";"26";"30";"34";"40";"48";"99";"0";"0";"0";"123"
"49";"Divermon";"24";"26";"30";"34";"40";"48";"99";"0";"0";"0";"118"
"50";"Mamemon";"25";"27";"31";"35";"41";"99";"0";"0";"0";"0";"110"
"51";"Numemon";"25";"27";"31";"35";"41";"99";"0";"0";"0";"0";"124"
"52";"Sukamon";"26";"28";"32";"37";"43";"99";"0";"0";"0";"0";"129"
"53";"Cardmon (A2)";"27";"30";"33";"38";"45";"99";"0";"0";"0";"0";"135"
"54";"Cyclonemon";"27";"30";"33";"38";"45";"99";"0";"0";"0";"0";"134"
"55";"Gesomon";"27";"30";"33";"38";"45";"99";"0";"0";"0";"0";"136"
"56";"Raremon";"27";"30";"33";"38";"45";"99";"0";"0";"0";"0";"135"
"57";"Guardromon (Blue)";"29";"32";"36";"41";"48";"99";"0";"0";"0";"0";"0"
"58";"Monzaemon";"29";"32";"36";"41";"48";"99";"0";"0";"0";"0";"0"
"59";"Nanimon";"29";"32";"36";"41";"48";"99";"0";"0";"0";"0";"0"
"60";"Tortomon";"29";"32";"36";"41";"48";"99";"0";"0";"0";"0";"145"
"61";"Kuwagamon (Green)";"30";"33";"37";"42";"99";"0";"0";"0";"0";"0";"0"
"62";"Tankmon";"30";"33";"37";"42";"99";"0";"0";"0";"0";"0";"0"
"63";"Musyamon";"31";"34";"38";"44";"99";"0";"0";"0";"0";"0";"180"
"64";"Numemon (Blue)";"31";"34";"38";"44";"99";"0";"0";"0";"0";"0";"222"
"65";"Phantomon";"31";"34";"38";"44";"99";"0";"0";"0";"0";"0";"154"
"66";"Musyamon (Green)";"32";"35";"40";"45";"99";"0";"0";"0";"0";"0";"160"
"67";"Flymon (Pink)";"33";"36";"41";"47";"99";"0";"0";"0";"0";"0";"165"
"68";"Minotarumon (Blue)";"33";"36";"41";"47";"99";"0";"0";"0";"0";"0";"167"
"69";"Blossomon";"34";"37";"42";"48";"99";"0";"0";"0";"0";"0";"168"
"70";"Ebidramon";"34";"37";"42";"48";"99";"0";"0";"0";"0";"0";"170"
"71";"Okuwamon";"34";"37";"42";"48";"99";"0";"0";"0";"0";"0";"172"
"72";"Gargoylemon";"35";"38";"43";"99";"0";"0";"0";"0";"0";"0";"0"
"73";"MegaSeadramon";"35";"38";"43";"99";"0";"0";"0";"0";"0";"0";"174"
"74";"Mummymon";"35";"38";"43";"99";"0";"0";"0";"0";"0";"0";"0"
"75";"Seadramon (Brown)";"35";"38";"43";"99";"0";"0";"0";"0";"0";"0";"175"
"76";"Brachiomon";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"0"
"77";"Blossomon (Pink)";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"179"
"78";"Deltamon";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"0"
"79";"Kurisarimon";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"255"
"80";"MetalTyrannomon";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"0"
"81";"Tortomon (Blue)";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"180"
"82";"Vilemon";"36";"40";"45";"99";"0";"0";"0";"0";"0";"0";"180"
"83";"Cardmon (T3)";"37";"41";"46";"99";"0";"0";"0";"0";"0";"0";"185"
"84";"MarineDevimon";"37";"41";"46";"99";"0";"0";"0";"0";"0";"0";"185"
"85";"Phantomon (Blue)";"37";"41";"46";"99";"0";"0";"0";"0";"0";"0";"0"
"86";"ShogunGekomon (Blue)";"37";"41";"46";"99";"0";"0";"0";"0";"0";"0";"179"
"87";"Cherrymon";"38";"42";"47";"99";"0";"0";"0";"0";"0";"0";"189"
"88";"Numemon (Brown)";"39";"43";"48";"99";"0";"0";"0";"0";"0";"0";"299"
"89";"SkullSatamon";"39";"43";"48";"99";"0";"0";"0";"0";"0";"0";"196"
"90";"Kurisarimon (Pink)";"40";"44";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"91";"Octomon";"40";"44";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"92";"Raremon (Pink)";"40";"44";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"93";"Cherrymon (Red)";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"203"
"94";"Drimogemon";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"95";"Flarerizamon";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"96";"Frigimon";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"97";"Meramon";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"98";"Mojyamon";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"99";"Triceramon (Red)";"41";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"100";"Cardmon (A3)";"42";"46";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"101";"Fugamon";"42";"46";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"102";"Cyclonemon (Pink)";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"103";"Devidramon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"104";"Icemon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"105";"Numemon (Aqua)";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"399"
"106";"Numemon (Red)";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"107";"Scorpiomon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"108";"SkullMeramon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"109";"Snimon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"215"
"110";"Tylomon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"111";"Vikemon";"43";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"112";"Antylamon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"113";"Chimeramon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"114";"Dragomon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"221"
"115";"Drimogemon (Brown)";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"220"
"116";"H -Kabuterimon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"222"
"117";"MegaSeadramon (Gold)";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"118";"MetalEtemon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"222"
"119";"MetalSeadramon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"120";"Numemon (White)";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"399"
"121";"Pukumon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0"
"122";"Rockmon";"44";"48";"99";"0";"0";"0";"0";"0";"0";"0";"220"
"123";"Arukenimon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"225"
"124";"Gryphonmon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"227"
"125";"KingEtemon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"126";"LadyDevimon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"224"
"127";"Quetzalmon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"128";"Tankmon (Blue)";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"227"
"129";"Valkyriemon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"225"
"130";"Whamon";"45";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"131";"Giromon";"46";"99";"0";"0";"0";"0";"0";"0";"0";"0";"230"
"132";"Guardromon (White)";"46";"99";"0";"0";"0";"0";"0";"0";"0";"0";"231"
"133";"Megadramon";"46";"99";"0";"0";"0";"0";"0";"0";"0";"0";"233"
"134";"Vademon (Red)";"46";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"135";"Cardmon (A4)";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"210"
"136";"Cardmon (T4)";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"235"
"137";"Garbagemon";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"235"
"138";"Machinedramon";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"500"
"139";"Mammothmon (Silver)";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"140";"Roachmon";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"234"
"141";"Shadramon";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"142";"Vikemon (Blue)";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"236"
"143";"Whamon (Blue)";"47";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"144";"BlueMeramon";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"145";"Boltmon";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"146";"Ebidramon (Pink)";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0";"240"
"147";"Maildramon (Black)";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"148";"Snimon (Brown)";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0";"241"
"149";"Vilemon (Purple)";"48";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"150";"Antylamon (White)";"49";"99";"0";"0";"0";"0";"0";"0";"0";"0";"220"
"151";"Ghoulmon";"49";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"152";"Lynxmon";"49";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"153";"SkullMammothmon";"49";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"154";"Apokarimon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"155";"Armageddemon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"156";"Creepymon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"157";"Infermon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"158";"MetalSeadramon (Black)";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"159";"Piedmon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"160";"Puppetmon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"161";"Scorpiomon (Black)";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"162";"VenomMyotismon";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
